"","row","col","rep","N","G","yield"
"1",2,6,"rep1","N1","A",4520
"2",3,4,"rep1","N2","A",5598
"3",2,3,"rep1","N4","A",6192
"4",1,1,"rep1","N6","A",8542
"5",2,1,"rep1","N3","A",5806
"6",3,1,"rep1","N5","A",7470
"7",4,5,"rep1","N1","B",4034
"8",4,1,"rep1","N2","B",6682
"9",3,2,"rep1","N4","B",6869
"10",1,2,"rep1","N6","B",6318
"11",4,3,"rep1","N3","B",5738
"12",2,2,"rep1","N5","B",7862
"13",1,4,"rep1","N1","C",3554
"14",1,5,"rep1","N2","C",4948
"15",2,5,"rep1","N4","C",5522
"16",3,5,"rep1","N6","C",5684
"17",1,3,"rep1","N3","C",5974
"18",4,4,"rep1","N5","C",7260
"19",4,2,"rep1","N1","D",4216
"20",3,3,"rep1","N2","D",5372
"21",4,6,"rep1","N4","D",2504
"22",1,6,"rep1","N6","D",2338
"23",3,6,"rep1","N3","D",4276
"24",2,4,"rep1","N5","D",1594
"25",3,11,"rep2","N3","A",6600
"26",3,9,"rep2","N2","A",5256
"27",2,10,"rep2","N5","A",7578
"28",3,10,"rep2","N1","A",4208
"29",1,10,"rep2","N6","A",9012
"30",2,8,"rep2","N4","A",7146
"31",4,10,"rep2","N3","B",6307
"32",3,12,"rep2","N2","B",5948
"33",4,8,"rep2","N5","B",6324
"34",4,7,"rep2","N1","B",5044
"35",3,7,"rep2","N6","B",7567
"36",1,8,"rep2","N4","B",7072
"37",2,12,"rep2","N3","C",5904
"38",3,8,"rep2","N2","C",6094
"39",1,7,"rep2","N5","C",6392
"40",1,9,"rep2","N1","C",2674
"41",2,9,"rep2","N6","C",7302
"42",2,7,"rep2","N4","C",5970
"43",4,12,"rep2","N3","D",5924
"44",1,12,"rep2","N2","D",4694
"45",1,11,"rep2","N5","D",1690
"46",4,11,"rep2","N1","D",4212
"47",4,9,"rep2","N6","D",1560
"48",2,11,"rep2","N4","D",5126
"49",3,14,"rep3","N4","A",6860
"50",3,18,"rep3","N6","A",8548
"51",2,16,"rep3","N3","A",6794
"52",2,13,"rep3","N1","A",4030
"53",4,16,"rep3","N2","A",6162
"54",1,16,"rep3","N5","A",7642
"55",1,15,"rep3","N4","B",6744
"56",2,17,"rep3","N6","B",5736
"57",3,16,"rep3","N3","B",6732
"58",4,14,"rep3","N1","B",3840
"59",4,17,"rep3","N2","B",5316
"60",3,17,"rep3","N5","B",6666
"61",2,14,"rep3","N4","C",6550
"62",2,15,"rep3","N6","C",5210
"63",1,17,"rep3","N3","C",6104
"64",1,18,"rep3","N1","C",3304
"65",4,13,"rep3","N2","C",5286
"66",4,18,"rep3","N5","C",6410
"67",3,15,"rep3","N4","D",3818
"68",3,13,"rep3","N6","D",1744
"69",4,15,"rep3","N3","D",4236
"70",1,13,"rep3","N1","D",5016
"71",2,18,"rep3","N2","D",4382
"72",1,14,"rep3","N5","D",2856
