"","Loc","Density","LbsSucA"
"1","WY09",0,10106.34
"2","WY09",0.03,8639.42
"3","WY09",0.05,7752.2
"4","WY09",0.08,5718.38
"5","WY09",0.11,7953.72
"6","WY09",0.15,6012.16
"7","WY09",0.08,10033.76
"8","WY09",0.11,8600.85
"9","WY09",0,9566.74
"10","WY09",0.05,8195.46
"11","WY09",0.15,5481.73
"12","WY09",0.03,9101.35
"13","WY09",0.05,7468.42
"14","WY09",0,6919.9
"15","WY09",0.03,7622.14
"16","WY09",0.15,5619.71
"17","WY09",0.08,7697.96
"18","WY09",0.11,6287.19
"19","WY09",0,7668.14
"20","WY09",0.05,7654.4
"21","WY09",0.15,3494.88
"22","WY09",0.11,4629.66
"23","WY09",0.03,6001.28
"24","WY09",0.08,5353.6
